,Products bought by the customer,New products bought by the customer
Customer_420,Diş fırçası;Garnitür;Yer fıstığı;Kuru İncir;Kalem;El mantısı;Krem şanti;Baldo pirinç;Toz şeker;Tavuk Bulyon;Sarımsak sosu;Saç boyası;Tavuk Bulyon;Sirke;Un;Saç kremi;Susam;Ketçap;Biber salçası;Erişte,Peeling krem
Customer_292,Baldo pirinç;Domates salçası;Sirke;Sirke;Un;Karabiber;Toz şeker;Soya sosu;Ihlamur;Acı Sos;Erişte;Böğürtlen;Erişte;Köfte harcı;Keçi boynuzu;Yulaf;Köfte;Nar ekşisi;Kuru İncir;Yeşil çay;Patlıcan,Kinoa tohumu
Customer_232,El mantısı;Karabiber;Nohut;Böğürtlen;Acı Sos;Soya sosu;Çörek otu;Yoğurt;Yulaf;Kalamar;Zeytinyağı;Patlıcan;Ketçap;Nar ekşisi;Ton balığı;Kuru dut;Zeytinyağı;Karides;Baldo pirinç,Kinoa tohumu
Customer_303,Erişte;Bisküvi;Köfte harcı;Patlıcan;Şampuan;Kırı üzüm;Acı Sos;Kalem;Çörek otu;Kuru kayısı;Makarna;Böğürtlen;Nar ekşisi;Sarımsak sosu;Ketçap;Nohut;Şehriye;Bezelye;Ketçap;Krem şanti;Krem şanti;Şehriye;Diş fırçası;Yer fıstığı;El mantısı,Kurutulmuş Kivi
Customer_125,Susam;Nohut;Un;Bisküvi;Kuru İncir;Köfte harcı;Közlenmiş biber;Ayçiçek yağı;Meksika fasülyesi;El mantısı;Domates salçası;Milföy;Kuru dut;Çörek otu;Ketçap,Kurutulmuş Kivi
Customer_942,Meksika fasülyesi;Yoğurt;Bezelye;Makarna;Tavuk Bulyon;Biber salçası;Ton balığı;Keçi boynuzu;Toz şeker;Köfte harcı;Un;Pizza;Toz şeker;Milföy;Susam;Karabiber;Karides;Yeşil çay;Yulaf;Yeşil çay;Bisküvi;Meksika fasülyesi;Ihlamur;Domates salçası,Kinoa tohumu
Customer_445,Fasulye turşu;Nane likörü;Milföy;Kırmızı mercimek;Toz şeker;Patlıcan;Sarımsak sosu;Zeytinyağı;Bira;Karides;Cips;Tavuk Bulyon;Çörek otu;Pizza;Beyaz şarap;El mantısı;Nane likörü;Ketçap,Karamelli likör
Customer_769,Kuru dut;Zeytinyağı;Karabiber;Kuru kayısı;Biber salçası;Yeşil çay;Tavuk Bulyon;Limon sos;Sirke;Kurabiye;Bezelye;Makarna;Ayçiçek yağı;Patlıcan;Tavuk Bulyon;Ton balığı;Tarçın;Karabiber;Sarımsak sosu;Baldo pirinç;Karides,Kinoa tohumu
Customer_632,Fasulye turşu;Kırmızı mercimek;Susam;Zeytinyağı;Ton balığı;Acı Sos;Erişte;Kalamar;Patlıcan;Kuru dut;Kurabiye;Milföy;Sirke;Nar ekşisi;Kuru kayısı;Sarımsak sosu;Nar ekşisi;Köfte harcı,Kurutulmuş Kivi
Customer_260,Köfte;Çörek otu;Közlenmiş biber;Soya sosu;Köfte;Kuru İncir;Bezelye;Susam;Şehriye;Papatya çayı;Kurabiye;Nar ekşisi;Karabiber;Nohut;Limon sos;Acı Sos;Soya sosu;Krem şanti;Keçi boynuzu,Kurutulmuş Kivi
Customer_255,Erişte;Tarçın;Keçi boynuzu;Köfte harcı;Domates salçası;Pizza;Ton balığı;Krem şanti;Karides;Kırı üzüm;Limon sos;Karabiber;Kalamar;Toz şeker;Yeşil çay;Soya sosu;Köfte harcı;Sirke;Kuru dut;Patates;Köfte,Kurutulmuş Kivi
Customer_775,Sarımsak sosu;Kırmızı mercimek;Garnitür;Pizza;Erişte;Jelibon;Un;Sirke;Jelibon;İçli Köfte;Cips;Köfte;Yoğurt;Domates salçası;Biber salçası;Susam;Kahve likörü;Tarçın;Kırmızı şarap;Bezelye;Nar ekşisi;Nane likörü;Közlenmiş biber,Karamelli likör
Customer_637,Tavuk Bulyon;Şampuan;Meksika fasülyesi;Biber salçası;Biber salçası;Garnitür;Patates;Soya sosu;Saç boyası;Domates salçası;Diş macunu;Karides;Limon sos;Yoğurt;Pizza;Patlıcan;Şehriye;Köfte;Keçi boynuzu;Susam;Ihlamur;Kalamar,Kinoa tohumu
Customer_635,Ketçap;Keçi boynuzu;Diş macunu;Yoğurt;Çörek otu;Krem şanti;Acı Sos;Susam;Erişte;Ayçiçek yağı;Ihlamur;Şehriye;Kurabiye;Şampuan;Jelibon;Ton balığı,Kinoa tohumu
Customer_721,Nemlendirici bakım kremi;Bisküvi;Kalem;Erişte;Zeytinyağı;Şehriye;Köfte;Sirke;Kurabiye;Nar ekşisi;Patlıcan;Un;Kuru kayısı;Acı Sos;Kırı üzüm;Limon sos;Patates;Ayçiçek yağı,Kurutulmuş Kivi
Customer_603,Diş macunu;Vücut losyonu;Ketçap;Yer fıstığı;Kalamar;Ayçiçek yağı;Krem şanti;Böğürtlen;Diş fırçası;Nohut;Domates salçası;Karabiber;Limon sos;Meksika fasülyesi;Yeşil çay;Jelibon;Karides;El mantısı;Ton balığı,Peeling krem
Customer_284,Makarna;Bezelye;Soya sosu;Karabiber;Yeşil çay;Pizza;Bezelye;Kalem;Nar ekşisi;Yoğurt;Patlıcan;Kalem;Sarımsak sosu;Yer fıstığı;Krem şanti;Jelibon;Biber salçası;Makarna;Kuru kayısı;Kırı üzüm;Kalamar;Baldo pirinç;Domates salçası;Sarımsak sosu;Zeytinyağı;Limon sos,Kurutulmuş Kivi
Customer_597,Patates;Tavuk Bulyon;Domates salçası;Karides;Toz şeker;Garnitür;Kalamar;Böğürtlen;Patlıcan;Kuru İncir;Sirke;Kuru dut;Fasulye turşu;Köfte;Patlıcan;Kuru kayısı,Kurutulmuş Kivi
Customer_878,Kuru üzüm;Patlıcan;Yoğurt;Bira;Şehriye;Milföy;Cips;Domates salçası;Kahve likörü;Kırmızı şarap;Sarımsak sosu;Tavuk Bulyon;Karides;Bisküvi;Çörek otu;Viski;Köfte;Közlenmiş biber;Papatya çayı;Beyaz şarap;Kalem,Karamelli likör
Customer_148,Nemlendirici bakım kremi;Diş fırçası;Makarna;Güneş kremi;Ayçiçek yağı;Bisküvi;Patates;Köfte harcı;Erişte;Acı Sos;Susam;Köfte harcı;Nemlendirici bakım kremi;Kalamar;Böğürtlen;Patlıcan;Erişte;Krem şanti;Bezelye,Peeling krem
Customer_64,Yeşil çay;Nohut;Çörek otu;Susam;Ton balığı;Ihlamur;Keçi boynuzu;Bira;Milföy;Papatya çayı;Fasulye turşu;Nohut,Kinoa tohumu
Customer_435,Böğürtlen;Papatya çayı;Kalamar;Yeşil çay;Karides;Ihlamur;El mantısı;Yoğurt;Ton balığı;Pizza;Meksika fasülyesi;Ayçiçek yağı;Makarna;Nar ekşisi;Ton balığı;Köfte;Biber salçası;Ketçap;Limon sos;Domates salçası;Köfte harcı;Kalem;Ketçap;El mantısı,Kinoa tohumu
Customer_521,Ihlamur;Kalamar;El mantısı;Közlenmiş biber;Yulaf;Un;Meksika fasülyesi;Soya sosu;Yer fıstığı;Limon sos;Kalem;Yoğurt;Vücut losyonu;Bezelye;Şehriye;Patates;Papatya çayı;Erişte,Kinoa tohumu
Customer_612,Ketçap;Tarçın;Kuru kayısı;Nohut;Jelibon;Toz şeker;Köfte harcı;Kuru İncir;Nohut;Makarna;Közlenmiş biber;Kırı üzüm;Ayçiçek yağı;Limon sos;Çörek otu;Patlıcan;Ayçiçek yağı;Nar ekşisi,Kurutulmuş Kivi
Customer_737,Papatya çayı;Sirke;Ihlamur;Tarçın;Limon sos;Garnitür;Nar ekşisi;Soya sosu;Şehriye;Erişte;Keçi boynuzu;Yer fıstığı;Nane likörü;Közlenmiş biber;Baldo pirinç;Zeytinyağı;Fasulye turşu;Viski;Tavuk Bulyon;Pizza;Bisküvi;Kuru üzüm,Kinoa tohumu
Customer_102,Domates salçası;Jelibon;Fasulye turşu;Meksika fasülyesi;Diş fırçası;Sarımsak sosu;Kalem;Güneş kremi;Ayçiçek yağı;Yoğurt;Limon sos;Çörek otu;Pizza;Şampuan;Nemlendirici bakım kremi;Acı Sos;Saç kremi;Nar ekşisi;Tavuk Bulyon;Biber salçası;El mantısı;Böğürtlen;Şehriye;Vücut losyonu;Nohut,Peeling krem
Customer_888,Kalamar;Krem şanti;Milföy;Vücut losyonu;Şampuan;Ayçiçek yağı;Milföy;Nar ekşisi;Saç kremi;Güneş kremi;Tavuk Bulyon;Böğürtlen;Limon sos;İçli Köfte;El mantısı;Kırmızı şarap;Diş macunu;Fasulye turşu;Pizza;Karides;Kurabiye;Karides;Ketçap;Soya sosu;Bisküvi,Peeling krem
Customer_585,Kırı üzüm;Çörek otu;Makarna;Jelibon;Saç kremi;Kalamar;Köfte harcı;Bezelye;Baldo pirinç;Kalem;Şampuan;Diş macunu;Vücut losyonu;Karides;Nemlendirici bakım kremi;Karabiber;Tarçın;Közlenmiş biber;Makarna;Saç boyası;Közlenmiş biber;Un;Nohut,Peeling krem
Customer_943,Biber salçası;Nar ekşisi;Tavuk Bulyon;Acı Sos;Ihlamur;Kurabiye;Viski;Tarçın;Nohut;Çikolata;Toz şeker;Jelibon;Sirke;Garnitür;İçli Köfte;Yer fıstığı;Soya sosu;Susam;Ayçiçek yağı;Kırmızı mercimek;Ayçiçek yağı;Közlenmiş biber;Ketçap,Karamelli likör
Customer_187,Vücut losyonu;Pizza;Diş macunu;Baldo pirinç;Garnitür;Zeytinyağı;Soya sosu;Fasulye turşu;Jelibon;Şehriye;Biber salçası;Acı Sos;Közlenmiş biber;Böğürtlen;Tavuk Bulyon;Limon sos;Nemlendirici bakım kremi;Patlıcan;Kırmızı şarap;Krem şanti;Toz şeker;Güneş kremi;Patlıcan;Karides;Kalem;Viski,Peeling krem
Customer_190,Kuru dut;Patlıcan;Ketçap;Sarımsak sosu;Şehriye;İçli Köfte;Nohut;Karides;Böğürtlen;Közlenmiş biber;Pizza;Kırmızı mercimek;Kuru kayısı;Çikolata,Kurutulmuş Kivi
Customer_921,Domates salçası;Susam;Bezelye;Fasulye turşu;Yulaf;Kırmızı mercimek;Krem şanti;Ihlamur;Viski;Papatya çayı;Patates;Un;Kalem;Milföy;Yoğurt;Soya sosu;Patates;Meksika fasülyesi;Makarna;Böğürtlen;Toz şeker;Domates salçası;Bisküvi;Çörek otu;Kurabiye;Karabiber;Sirke;Keçi boynuzu,Kinoa tohumu
Customer_290,Kuru kayısı;Nar ekşisi;Toz şeker;Pizza;Çikolata;Kırmızı mercimek;Çörek otu;Karides;Garnitür;Közlenmiş biber;Biber salçası;Kahve likörü;Çörek otu;Kuru İncir;Sirke;Şehriye;Karabiber;Kalem;Garnitür;Bisküvi;Sirke,Kurutulmuş Kivi
Customer_955,Baldo pirinç;Susam;Susam;Nane likörü;Çikolata;Güneş kremi;Yer fıstığı;Patlıcan;Közlenmiş biber;Kırmızı şarap;Bira;Yer fıstığı;Un;El mantısı;Şehriye;Kurabiye;Soya sosu;Karabiber;Bisküvi;Ayçiçek yağı;Şehriye;Garnitür;Tavuk Bulyon;Patates,Karamelli likör
Customer_109,Baldo pirinç;Kalem;Milföy;Papatya çayı;Patlıcan;Kahve likörü;Jelibon;Ayçiçek yağı;Yer fıstığı;Közlenmiş biber;Acı Sos;Köfte;Bisküvi;Bezelye;Yulaf;Karides;Susam;Meksika fasülyesi;Yeşil çay;Kurabiye;Zeytinyağı;Köfte harcı;İçli Köfte;Ihlamur,Kinoa tohumu
Customer_132,Kırı üzüm;Kuru dut;Yer fıstığı;Ihlamur;Yeşil çay;Acı Sos;Tavuk Bulyon;Makarna;Yoğurt;Yer fıstığı;Tarçın;Bisküvi;Toz şeker;Köfte harcı;Fasulye turşu;Kalamar;Ketçap;Nar ekşisi;Ton balığı;Makarna,Kinoa tohumu
Customer_498,Un;Köfte;Kuru üzüm;Güneş kremi;Sirke;Garnitür;Susam;Diş macunu;Kalamar;Biber salçası;Baldo pirinç;Tarçın;Böğürtlen;Susam;Kurabiye;Bira;Saç boyası;Saç kremi;Toz şeker;Nar ekşisi;Sarımsak sosu;Soya sosu;Nane likörü;Viski;Acı Sos,Karamelli likör
Customer_377,Kırmızı mercimek;Beyaz şarap;Bisküvi;Kırmızı şarap;Çörek otu;Pizza;Karabiber;Kuru dut;Zeytinyağı;Kurabiye;Ketçap;Soya sosu;Un;Kalamar;Toz şeker;Domates salçası;Limon sos;Acı Sos;Nar ekşisi;Susam;Karides;Köfte harcı,Kurutulmuş Kivi
Customer_932,Saç boyası;Köfte;Baldo pirinç;Patates;Acı Sos;Krem şanti;Jelibon;Garnitür;Şehriye;Şampuan;Soya sosu;Saç boyası;Çörek otu;Krem şanti;Güneş kremi;Biber salçası;Baldo pirinç;Karides;Kalem;Zeytinyağı;Yer fıstığı;Sirke;Diş macunu,Peeling krem
Customer_623,Ayçiçek yağı;Biber salçası;Kurabiye;Acı Sos;Közlenmiş biber;Diş macunu;Zeytinyağı;Sarımsak sosu;Patates;Bisküvi;Közlenmiş biber;Yer fıstığı;Karabiber;Kuru İncir;Kırı üzüm;Kalem;El mantısı;Yoğurt;Garnitür,Kurutulmuş Kivi
Customer_356,Saç kremi;Biber salçası;Yer fıstığı;Karides;Soya sosu;Güneş kremi;Milföy;Domates salçası;Tavuk Bulyon;Kırmızı mercimek;Limon sos;Sarımsak sosu;Diş macunu;Makarna;Limon sos;Erişte;Nar ekşisi;Kuru kayısı;Kalamar;Nemlendirici bakım kremi,Peeling krem
Customer_477,Karabiber;Soya sosu;Böğürtlen;Ketçap;Köfte harcı;Nane likörü;Tarçın;Susam;Kırmızı şarap;Cips;Ayçiçek yağı;Karides;Kahve likörü;Nar ekşisi;Beyaz şarap;Kırı üzüm;Karabiber;Bisküvi;Patates;El mantısı;Nohut;Kuru üzüm;Sarımsak sosu,Karamelli likör
Customer_70,Yeşil çay;Patates;Köfte harcı;Domates salçası;Garnitür;Ketçap;Ton balığı;Bisküvi;Fasulye turşu;Karides;Yulaf;Pizza;Fasulye turşu;Ayçiçek yağı;Jelibon;Tarçın;Şehriye;Keçi boynuzu;Patlıcan;Un;Toz şeker;Böğürtlen;Meksika fasülyesi;Limon sos;Karabiber;Güneş kremi;Makarna,Kinoa tohumu
Customer_114,Domates salçası;Vücut losyonu;Nemlendirici bakım kremi;Cips;Krem şanti;Güneş kremi;Ketçap;Biber salçası;Saç kremi;Makarna;Soya sosu;Köfte;Ayçiçek yağı;Çikolata,Peeling krem
Customer_212,Saç kremi;Diş macunu;Pizza;Köfte;Garnitür;Patlıcan;Sarımsak sosu;Çörek otu;Domates salçası;Kahve likörü;Sirke;Ketçap;Susam;Bisküvi;Biber salçası;Soya sosu;Diş fırçası;İçli Köfte;Köfte harcı;Tavuk Bulyon;Kırmızı mercimek;Tavuk Bulyon;Fasulye turşu;Tarçın,Peeling krem
Customer_567,Tarçın;Çörek otu;Sarımsak sosu;Bisküvi;Diş fırçası;Zeytinyağı;Yer fıstığı;Vücut losyonu;Domates salçası;Nemlendirici bakım kremi;Bisküvi;Şampuan;Acı Sos;Diş macunu;Un;Soya sosu;Tarçın;Sarımsak sosu;Kırmızı mercimek;Bezelye;Yoğurt;Biber salçası;Yoğurt;Jelibon;Baldo pirinç;Kurabiye;Sirke;Şampuan;Köfte;Kalem;Patates,Peeling krem
Customer_898,Milföy;Garnitür;Un;Erişte;Milföy;Nemlendirici bakım kremi;Şampuan;Kalamar;Vücut losyonu;Baldo pirinç;Ketçap;Şehriye;Saç boyası;İçli Köfte;Toz şeker;Kuru üzüm;Yoğurt;Diş fırçası;Ketçap;Sirke;Bisküvi;Kahve likörü;Saç kremi,Peeling krem
Customer_341,Böğürtlen;Ton balığı;Karabiber;Biber salçası;Tavuk Bulyon;Böğürtlen;Acı Sos;Zeytinyağı;Karabiber;Ketçap;Keçi boynuzu;Pizza;Toz şeker;Yulaf;Yoğurt;Papatya çayı;Krem şanti;Bezelye;Jelibon;Şehriye;Şehriye;Garnitür,Kinoa tohumu
Customer_30,Tavuk Bulyon;Karides;Bira;Krem şanti;Nane likörü;Yoğurt;Cips;Kuru dut;Közlenmiş biber;Şehriye;El mantısı;Kalem;Kırı üzüm;Patates;Pizza;Garnitür;Toz şeker;Kuru üzüm;Kurabiye;Toz şeker;Kırmızı şarap,Karamelli likör
Customer_653,Sirke;Makarna;Diş macunu;Makarna;Kırı üzüm;Kalem;Saç kremi;Kalamar;Köfte;Kurabiye;Kırmızı mercimek;Karabiber;Limon sos;Diş fırçası;Nohut;Böğürtlen;Pizza,Peeling krem
Customer_330,Kurabiye;Çörek otu;Yulaf;Zeytinyağı;Közlenmiş biber;Domates salçası;Susam;Makarna;Ketçap;Yoğurt;Papatya çayı;Ihlamur;Karabiber;Ketçap;Kalem;Kuru dut;El mantısı;Pizza;Kırı üzüm;Erişte;Un;Biber salçası;Bezelye,Kinoa tohumu
Customer_419,Zeytinyağı;Erişte;Keçi boynuzu;Acı Sos;Jelibon;Susam;Tavuk Bulyon;Köfte harcı;Krem şanti;Kırı üzüm;Papatya çayı;Sirke;Jelibon;İçli Köfte;Nar ekşisi;Biber salçası;Limon sos,Kurutulmuş Kivi
Customer_150,Közlenmiş biber;Fasulye turşu;Patlıcan;Krem şanti;Bisküvi;Patlıcan;Diş fırçası;Kuru İncir;Köfte harcı;Makarna;Soya sosu;Toz şeker;Erişte;Tavuk Bulyon;Bezelye;Karides;İçli Köfte;Zeytinyağı,Kurutulmuş Kivi
Customer_365,Yoğurt;Nar ekşisi;Çikolata;El mantısı;Viski;Kuru üzüm;Tarçın;Karabiber;Bisküvi;İçli Köfte;Domates salçası;Krem şanti;Pizza;Soya sosu;Nar ekşisi;Kahve likörü;Makarna;Çikolata;Bezelye;Pizza;Kırmızı mercimek;Patlıcan,Karamelli likör
Customer_665,Ketçap;Sarımsak sosu;Toz şeker;Karabiber;Kırmızı şarap;Kuru üzüm;Baldo pirinç;Beyaz şarap;Çörek otu;Zeytinyağı;Un;Bira;Güneş kremi;Közlenmiş biber;Makarna;Sarımsak sosu;Tavuk Bulyon;Milföy;Viski;Acı Sos;Nane likörü;Şampuan,Karamelli likör
Customer_62,Nane likörü;Jelibon;Patlıcan;Köfte harcı;Beyaz şarap;Limon sos;Pizza;Domates salçası;Soya sosu;Kırmızı mercimek;Kırmızı mercimek;Çikolata;Susam;Fasulye turşu;Toz şeker;Erişte;Kırmızı şarap;Kalamar;Kuru üzüm;Cips;Viski;Garnitür;Bira;Nohut;Yoğurt,Karamelli likör
Customer_835,Şehriye;Kırı üzüm;Kurabiye;Garnitür;Erişte;Zeytinyağı;Kuru dut;Kuru dut;Baldo pirinç;Yer fıstığı;Kırmızı mercimek;Kuru İncir;Bezelye;Acı Sos;Patlıcan;Ketçap;Un;Pizza,Kurutulmuş Kivi
Customer_393,Nemlendirici bakım kremi;Saç kremi;Baldo pirinç;Domates salçası;Karabiber;Nar ekşisi;Köfte;Yoğurt;Tarçın;Böğürtlen;Güneş kremi;Ketçap;Makarna;Kırmızı mercimek;Tavuk Bulyon;Köfte harcı;Tarçın;Ketçap;Kırmızı şarap;Fasulye turşu;Nar ekşisi;İçli Köfte,Peeling krem
Customer_599,Kırı üzüm;Çörek otu;Patlıcan;Kuru kayısı;Toz şeker;Közlenmiş biber;Nohut;Zeytinyağı;Nane likörü;Kalamar;Kalem;Kırmızı mercimek;Makarna;Böğürtlen;Susam;Kalem;Karabiber,Kurutulmuş Kivi
Customer_63,Sarımsak sosu;Yer fıstığı;Patates;Ayçiçek yağı;Kuru kayısı;Köfte;Patlıcan;Sarımsak sosu;Tavuk Bulyon;Karabiber;Şehriye;Tarçın;Kuru İncir,Kurutulmuş Kivi
Customer_199,Bira;Nane likörü;Ayçiçek yağı;Biber salçası;Kırmızı şarap;Kuru İncir;Böğürtlen;Bezelye;Karabiber;Cips;Kuru üzüm;Krem şanti;Erişte;Patlıcan;Kuru dut;Közlenmiş biber,Karamelli likör
Customer_236,Milföy;Ayçiçek yağı;Toz şeker;Patlıcan;Beyaz şarap;El mantısı;Tarçın;El mantısı;Sirke;Vücut losyonu;Kırmızı mercimek;Karides;Yoğurt;Karabiber;Kırmızı şarap;Şampuan;Sarımsak sosu;Nar ekşisi;Jelibon;İçli Köfte;Krem şanti,Peeling krem
Customer_317,Çörek otu;Sirke;Kuru kayısı;Pizza;Güneş kremi;Makarna;Bezelye;Baldo pirinç;Yer fıstığı;Limon sos;Soya sosu;Kuru İncir;Domates salçası;Kırmızı mercimek;Krem şanti;Yer fıstığı;Patates;Nohut,Kurutulmuş Kivi
Customer_694,Domates salçası;Patates;Yer fıstığı;Nar ekşisi;Kurabiye;Pizza;Milföy;Kuru kayısı;El mantısı;Susam;Erişte;Karabiber;Patlıcan;Şehriye;Tavuk Bulyon;Yoğurt;Krem şanti;Cips;Zeytinyağı,Karamelli likör
Customer_925,Acı Sos;Ton balığı;Köfte;Böğürtlen;Kırmızı mercimek;Diş macunu;Yer fıstığı;Şampuan;Patates;Domates salçası;Fasulye turşu;Patlıcan;Kırmızı mercimek;Köfte harcı;Diş fırçası;Vücut losyonu;Sarımsak sosu;Limon sos;El mantısı;Tavuk Bulyon;Bezelye,Peeling krem
Customer_959,Sarımsak sosu;Köfte;Kuru dut;Tarçın;Erişte;Bira;Közlenmiş biber;İçli Köfte;Karabiber;Kalamar;Ketçap;Zeytinyağı;Kuru kayısı;Krem şanti;Zeytinyağı;Yoğurt;Soya sosu;Kuru üzüm;El mantısı,Kurutulmuş Kivi
Customer_449,Tarçın;Baldo pirinç;Diş macunu;Sarımsak sosu;Patlıcan;Yoğurt;Acı Sos;İçli Köfte;Kurabiye;Nar ekşisi;Yeşil çay;Kalem;Meksika fasülyesi;Toz şeker;Köfte harcı;Sarımsak sosu;Domates salçası;Karabiber;Jelibon;Saç kremi;Saç boyası;Şampuan;Soya sosu;Erişte;Fasulye turşu,Peeling krem
Customer_283,Ketçap;Kalamar;Böğürtlen;Nar ekşisi;Ton balığı;Ihlamur;Patates;Meksika fasülyesi;Domates salçası;Ihlamur;Şehriye;Yeşil çay;Biber salçası;Acı Sos;Soya sosu;Çörek otu;Karides;İçli Köfte;Yulaf;Zeytinyağı,Kinoa tohumu
Customer_814,Patates;Baldo pirinç;Milföy;Karides;Böğürtlen;Makarna;Köfte;Tarçın;Köfte harcı;Böğürtlen;Milföy;Kuru kayısı;Toz şeker;Közlenmiş biber;Un;Kuru dut;Kuru kayısı,Kurutulmuş Kivi
Customer_200,Vücut losyonu;Yoğurt;Tavuk Bulyon;Yer fıstığı;Ketçap;İçli Köfte;Un;Milföy;Fasulye turşu;Jelibon;Bezelye;Güneş kremi;Diş macunu;Diş macunu;Karides;Yer fıstığı;Sarımsak sosu;Vücut losyonu;Saç kremi;Közlenmiş biber;Saç boyası,Peeling krem
Customer_589,Köfte harcı;Bisküvi;Vücut losyonu;Bisküvi;Ketçap;Bezelye;Şehriye;Cips;Toz şeker;Patlıcan;Saç kremi;Fasulye turşu;Patlıcan;Toz şeker;Köfte harcı;Tavuk Bulyon;Zeytinyağı,Karamelli likör
Customer_930,Ketçap;Bisküvi;Köfte;Ihlamur;Garnitür;Yulaf;Kuru İncir;Tarçın;Baldo pirinç;Patates;El mantısı;Yer fıstığı;Şehriye;Soya sosu;Pizza;Erişte;Tarçın;İçli Köfte;Yeşil çay,Kinoa tohumu
Customer_832,İçli Köfte;Domates salçası;Saç kremi;Milföy;Kalem;Jelibon;Kuru kayısı;Karides;Köfte;Kuru dut;Sirke;Şampuan;Nohut;Ayçiçek yağı;Garnitür;Patlıcan,Kurutulmuş Kivi
Customer_25,Güneş kremi;Diş fırçası;Kalamar;Kırmızı mercimek;Tavuk Bulyon;Nohut;Şampuan;Jelibon;Baldo pirinç;Sarımsak sosu;Yer fıstığı;Közlenmiş biber;Nemlendirici bakım kremi;Acı Sos;Milföy;Nar ekşisi;Çörek otu;Saç boyası;Böğürtlen;Susam;Saç kremi;Böğürtlen;Sarımsak sosu;Bezelye;Güneş kremi;Nohut,Peeling krem
Customer_138,Ayçiçek yağı;Kuru kayısı;Közlenmiş biber;Kalamar;Baldo pirinç;Böğürtlen;Tavuk Bulyon;Nar ekşisi;Kırı üzüm;Domates salçası;Yoğurt;Garnitür;Yeşil çay;Tarçın;Limon sos;Krem şanti;Toz şeker;Jelibon;Karabiber;Makarna;Nar ekşisi;Kalamar,Kurutulmuş Kivi
Customer_953,Kuru dut;Kuru İncir;Zeytinyağı;Tavuk Bulyon;Kahve likörü;Yoğurt;Böğürtlen;Garnitür;Toz şeker;Jelibon;Patlıcan;Susam;Susam;Karides;Nar ekşisi;Erişte;Milföy;Şehriye;Cips,Kurutulmuş Kivi
Customer_219,Toz şeker;Bezelye;Karabiber;Kuru İncir;Ayçiçek yağı;Krem şanti;Patates;Karabiber;Pizza;Garnitür;Jelibon;Nohut;Cips;Ayçiçek yağı;Kırı üzüm;Limon sos;Susam;Makarna;Yoğurt;Karides;Domates salçası;Şehriye;Baldo pirinç,Kurutulmuş Kivi
Customer_886,Nohut;Yer fıstığı;Un;Tavuk Bulyon;Çikolata;Jelibon;Kuru dut;Böğürtlen;Kalamar;Kuru kayısı;Köfte;Patates;Domates salçası;Susam;Un,Kurutulmuş Kivi
Customer_499,Yer fıstığı;Limon sos;Garnitür;Kuru İncir;Patlıcan;Kırmızı mercimek;Yoğurt;Nar ekşisi;İçli Köfte;Toz şeker;Kuru kayısı;Kurabiye;Çikolata;Bisküvi;Acı Sos;İçli Köfte;Zeytinyağı;Fasulye turşu,Kurutulmuş Kivi
Customer_877,Çörek otu;Meksika fasülyesi;Acı Sos;Zeytinyağı;Makarna;Karides;Böğürtlen;Nohut;Tavuk Bulyon;Makarna;Sirke;Erişte;El mantısı;Kalem;Susam;Baldo pirinç;Ketçap;Kırı üzüm;Erişte;Çörek otu,Kinoa tohumu
Customer_618,Sarımsak sosu;Erişte;Bezelye;Tavuk Bulyon;Soya sosu;Fasulye turşu;Krem şanti;Cips;Un;Patlıcan;Ihlamur;Sirke;El mantısı;Papatya çayı;Keçi boynuzu;Karides;Baldo pirinç;Yoğurt;Makarna;Meksika fasülyesi;Zeytinyağı;Sirke;İçli Köfte;Yer fıstığı;Limon sos;Yeşil çay;Biber salçası,Kinoa tohumu
Customer_156,Ton balığı;Toz şeker;Papatya çayı;Kalem;Sarımsak sosu;Karabiber;Jelibon;Şehriye;Kuru İncir;Jelibon;Yoğurt;Sirke;Kalamar;Patates;Bisküvi;İçli Köfte;El mantısı;Tavuk Bulyon;Baldo pirinç;Sirke,Kurutulmuş Kivi
Customer_112,Köfte harcı;Kırmızı şarap;El mantısı;Soya sosu;Sarımsak sosu;Domates salçası;Çörek otu;Ayçiçek yağı;Bisküvi;Pizza;Kalem;Un;Susam;Karabiber;Yer fıstığı;Baldo pirinç;Bezelye;Şehriye;Biber salçası;Közlenmiş biber;Ton balığı;Ihlamur;Makarna;Yeşil çay;Jelibon;Keçi boynuzu;Yoğurt;Meksika fasülyesi;Soya sosu,Kinoa tohumu
Customer_174,Nohut;Bira;Sirke;Kurabiye;Toz şeker;Nar ekşisi;İçli Köfte;Acı Sos;El mantısı;Yoğurt;Patlıcan;Şehriye;Erişte;Nane likörü;Çikolata;Nohut;Çikolata;Viski;Bisküvi;Garnitür;Kırmızı şarap;Baldo pirinç,Karamelli likör
Customer_128,Vücut losyonu;Karabiber;Güneş kremi;Karides;Biber salçası;Kalem;Kalamar;Garnitür;Milföy;Saç boyası;Yoğurt;Güneş kremi;Jelibon;Diş macunu;Sirke;Şehriye;Zeytinyağı;Milföy;Nemlendirici bakım kremi;Diş fırçası;Garnitür;Yoğurt;Saç kremi;Soya sosu;İçli Köfte;Köfte harcı,Peeling krem
